,dose,real_date,extrapolated,vaccinated,interpolated,group,population
1159,2_wait,2021-04-19,False,6504601,1,all,56286961
101,1,2021-04-20,False,27798502,1,all,56286961
1160,2_wait,2021-04-20,False,6762334,1,all,56286961
634,2,2021-04-20,False,9007088,1,all,56286961
1161,2_wait,2021-04-21,False,7054714,1,all,56286961
635,2,2021-04-21,False,9346861,1,all,56286961
102,1,2021-04-21,False,27891204,1,all,56286961
1162,2_wait,2021-04-22,False,7417715,1,all,56286961
636,2,2021-04-22,False,9692535,1,all,56286961
103,1,2021-04-22,False,27995192,1,all,56286961
1163,2_wait,2021-04-23,False,7863743,1,all,56286961
637,2,2021-04-23,False,10086679,1,all,56286961
104,1,2021-04-23,False,28102848,1,all,56286961
1164,2_wait,2021-04-24,False,8322623,1,all,56286961
105,1,2021-04-24,False,28227704,1,all,56286961
638,2,2021-04-24,False,10564688,1,all,56286961
106,1,2021-04-25,False,28289291,1,all,56286961
1165,2_wait,2021-04-25,False,8518493,1,all,56286961
639,2,2021-04-25,False,10791847,1,all,56286961
107,1,2021-04-26,False,28356774,1,all,56286961
1166,2_wait,2021-04-26,False,8734157,1,all,56286961
640,2,2021-04-26,False,11041616,1,all,56286961
108,1,2021-04-27,False,28441841,1,all,56286961
1167,2_wait,2021-04-27,False,9007088,1,all,56286961
641,2,2021-04-27,False,11355231,1,all,56286961
109,1,2021-04-28,False,28545194,1,all,56286961
1168,2_wait,2021-04-28,False,9346861,1,all,56286961
642,2,2021-04-28,False,11749383,1,all,56286961
1169,2_wait,2021-04-29,False,9692535,1,all,56286961
643,2,2021-04-29,False,12144426,1,all,56286961
110,1,2021-04-29,False,28656170,1,all,56286961
644,2,2021-04-30,False,12506182,1,all,56286961
111,1,2021-04-30,False,28771536,1,all,56286961
1170,2_wait,2021-04-30,False,10086679,1,all,56286961
645,2,2021-05-01,False,12835354,1,all,56286961
112,1,2021-05-01,False,28895153,1,all,56286961
1171,2_wait,2021-05-01,False,10564688,1,all,56286961
646,2,2021-05-02,False,12972752,1,all,56286961
113,1,2021-05-02,False,28965930,1,all,56286961
1172,2_wait,2021-05-02,False,10791847,1,all,56286961
647,2,2021-05-03,False,13072538,1,all,56286961
1173,2_wait,2021-05-03,False,11041616,1,all,56286961
114,1,2021-05-03,False,29025042,1,all,56286961
1174,2_wait,2021-05-04,False,11355231,1,all,56286961
648,2,2021-05-04,False,13284177,1,all,56286961
115,1,2021-05-04,False,29124304,1,all,56286961
1175,2_wait,2021-05-05,False,11749383,1,all,56286961
1176,2_wait,2021-05-06,False,12144426,1,all,56286961
649,2,2021-05-06,False,14051962,1,all,56286961
116,1,2021-05-06,False,29333689,1,all,56286961
1177,2_wait,2021-05-07,False,12506182,1,all,56286961
650,2,2021-05-07,False,14466694,1,all,56286961
117,1,2021-05-07,False,29441208,1,all,56286961
651,2,2021-05-08,False,14871203,1,all,56286961
118,1,2021-05-08,False,29578210,1,all,56286961
1178,2_wait,2021-05-08,False,12835354,1,all,56286961
119,1,2021-05-09,False,29651549,1,all,56286961
1179,2_wait,2021-05-09,False,12972752,1,all,56286961
652,2,2021-05-09,False,15031517,1,all,56286961
120,1,2021-05-10,False,29727660,1,all,56286961
1180,2_wait,2021-05-10,False,13072538,1,all,56286961
653,2,2021-05-10,False,15224240,1,all,56286961
1181,2_wait,2021-05-11,False,13284177,1,all,56286961
654,2,2021-05-11,False,15533153,1,all,56286961
121,1,2021-05-11,False,29826174,1,all,56286961
655,2,2021-05-12,False,15935676,1,all,56286961
122,1,2021-05-12,False,29973109,1,all,56286961
656,2,2021-05-13,False,16314327,1,all,56286961
123,1,2021-05-13,False,30146928,1,all,56286961
1182,2_wait,2021-05-13,False,14051962,1,all,56286961
124,1,2021-05-14,False,30331986,1,all,56286961
1183,2_wait,2021-05-14,False,14466694,1,all,56286961
657,2,2021-05-14,False,16660751,1,all,56286961
1184,2_wait,2021-05-15,False,14871203,1,all,56286961
658,2,2021-05-15,False,17014518,1,all,56286961
125,1,2021-05-15,False,30537949,1,all,56286961
659,2,2021-05-16,False,17172203,1,all,56286961
126,1,2021-05-16,False,30643470,1,all,56286961
1185,2_wait,2021-05-16,False,15031517,1,all,56286961
127,1,2021-05-17,False,30729414,1,all,56286961
1186,2_wait,2021-05-17,False,15224240,1,all,56286961
660,2,2021-05-17,False,17382645,1,all,56286961
128,1,2021-05-18,False,30884036,1,all,56286961
1187,2_wait,2021-05-18,False,15533153,1,all,56286961
661,2,2021-05-18,False,17651930,1,all,56286961
1188,2_wait,2021-05-19,False,15935676,1,all,56286961
129,1,2021-05-19,False,31120013,1,all,56286961
662,2,2021-05-19,False,17960948,1,all,56286961
130,1,2021-05-20,False,31354833,1,all,56286961
